field/0/__text;field/1/__text;field/2/_ref;_id
Incomplete, complicated by delayed or excessive haemorrhage;O05.1;icdcat15-1;O051
Incomplete, complicated by embolism;O05.2;icdcat15-1;O052
Incomplete, with other and unspecified complications;O05.3;icdcat15-1;O053
Incomplete, without complication;O05.4;icdcat15-1;O054
Complete or unspecified, complicated by genital tract and pelvic infection;O05.5;icdcat15-1;O055
Complete or unspecified, complicated by delayed or excessive haemorrhage;O05.6;icdcat15-1;O056
Complete or unspecified, complicated by embolism;O05.7;icdcat15-1;O057
Complete or unspecified, with other and unspecified complications;O05.8;icdcat15-1;O058
Complete or unspecified, without complication;O05.9;icdcat15-1;O059
Unspecified abortion;O06;icdcat15-1;O06
Incomplete, complicated by genital tract and pelvic infection;O06.0;icdcat15-1;O060
Incomplete, complicated by delayed or excessive haemorrhage;O06.1;icdcat15-1;O061
Incomplete, complicated by embolism;O06.2;icdcat15-1;O062
Incomplete, with other and unspecified complications;O06.3;icdcat15-1;O063
Incomplete, without complication;O06.4;icdcat15-1;O064
Complete or unspecified, complicated by genital tract and pelvic infection;O06.5;icdcat15-1;O065
Complete or unspecified, complicated by delayed or excessive haemorrhage;O06.6;icdcat15-1;O066
Complete or unspecified, complicated by embolism;O06.7;icdcat15-1;O067
Complete or unspecified, with other and unspecified complications;O06.8;icdcat15-1;O068
Complete or unspecified, without complication;O06.9;icdcat15-1;O069
Failed attempted abortion;O07;icdcat15-1;O07
Failed medical abortion, complicated by genital tract and pelvic infection;O07.0;icdcat15-1;O070
Failed medical abortion, complicated by delayed or excessive haemorrhage;O07.1;icdcat15-1;O071
Failed medical abortion, complicated by embolism;O07.2;icdcat15-1;O072
Failed medical abortion, with other and unspecified complications;O07.3;icdcat15-1;O073
Failed medical abortion, without complication;O07.4;icdcat15-1;O074
Other and unspecified failed attempted abortion, complicated by genital tract and pelvic infection;O07.5;icdcat15-1;O075
Other and unspecified failed attempted abortion, complicated by delayed or excessive haemorrhage;O07.6;icdcat15-1;O076
Other and unspecified failed attempted abortion, complicated by embolism;O07.7;icdcat15-1;O077
Other and unspecified failed attempted abortion, with other and unspecified complications;O07.8;icdcat15-1;O078
Other and unspecified failed attempted abortion, without complication;O07.9;icdcat15-1;O079
Complications following abortion and ectopic and molar pregnancy;O08;icdcat15-1;O08
Genital tract and pelvic infection following abortion and ectopic and molar pregnancy;O08.0;icdcat15-1;O080
Delayed or excessive haemorrhage following abortion and ectopic and molar pregnancy;O08.1;icdcat15-1;O081
Embolism following abortion and ectopic and molar pregnancy;O08.2;icdcat15-1;O082
Shock following abortion and ectopic and molar pregnancy;O08.3;icdcat15-1;O083
Renal failure following abortion and ectopic and molar pregnancy;O08.4;icdcat15-1;O084
Metabolic disorders following abortion and ectopic and molar pregnancy;O08.5;icdcat15-1;O085
Damage to pelvic organs and tissues following abortion and ectopic and molar pregnancy;O08.6;icdcat15-1;O086
Other venous complications following abortion and ectopic and molar pregnancy;O08.7;icdcat15-1;O087
Other complications following abortion and ectopic and molar pregnancy;O08.8;icdcat15-1;O088
Complication following abortion and ectopic and molar pregnancy, unspecified;O08.9;icdcat15-1;O089
Pre-existing hypertension complicating pregnancy, childbirth and the puerperium;O10;icdcat15-2;O10
Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium;O10.0;icdcat15-2;O100
Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium;O10.1;icdcat15-2;O101
Pre-existing hypertensive renal disease complicating pregnancy, childbirth and the puerperium;O10.2;icdcat15-2;O102
Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium;O10.3;icdcat15-2;O103
Pre-existing secondary hypertension complicating pregnancy, childbirth and the puerperium;O10.4;icdcat15-2;O104
Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium;O10.9;icdcat15-2;O109
Pre-eclampsia superimposed on chronic hypertension;O11;icdcat15-2;O11
Gestational [pregnancy-induced] oedema and proteinuria without hypertension;O12;icdcat15-2;O12
Gestational oedema;O12.0;icdcat15-2;O120
Gestational proteinuria;O12.1;icdcat15-2;O121
Gestational oedema with proteinuria;O12.2;icdcat15-2;O122
Gestational [pregnancy-induced] hypertension;O13;icdcat15-2;O13
Pre-eclampsia;O14;icdcat15-2;O14
Mild to moderate pre-eclampsia;O14.0;icdcat15-2;O140
Severe pre-eclampsia;O14.1;icdcat15-2;O141
Pre-eclampsia, unspecified;O14.9;icdcat15-2;O149
Eclampsia;O15;icdcat15-2;O15
Eclampsia in pregnancy;O15.0;icdcat15-2;O150
Eclampsia in labour;O15.1;icdcat15-2;O151
Eclampsia in the puerperium;O15.2;icdcat15-2;O152
Eclampsia, unspecified as to time period;O15.9;icdcat15-2;O159
Unspecified maternal hypertension;O16;icdcat15-2;O16
Haemorrhage in early pregnancy;O20;icdcat15-3;O20
Threatened abortion;O20.0;icdcat15-3;O200
Other haemorrhage in early pregnancy;O20.8;icdcat15-3;O208
Haemorrhage in early pregnancy, unspecified;O20.9;icdcat15-3;O209
Excessive vomiting in pregnancy;O21;icdcat15-3;O21
Mild hyperemesis gravidarum;O21.0;icdcat15-3;O210
Hyperemesis gravidarum with metabolic disturbance;O21.1;icdcat15-3;O211
Late vomiting of pregnancy;O21.2;icdcat15-3;O212
Other vomiting complicating pregnancy;O21.8;icdcat15-3;O218
Vomiting of pregnancy, unspecified;O21.9;icdcat15-3;O219
Venous complications and haemorrhoids in pregnancy;O22;icdcat15-3;O22
Varicose veins of lower extremity in pregnancy;O22.0;icdcat15-3;O220
Genital varices in pregnancy;O22.1;icdcat15-3;O221
Superficial thrombophlebitis in pregnancy;O22.2;icdcat15-3;O222
Deep phlebothrombosis in pregnancy;O22.3;icdcat15-3;O223
Haemorrhoids in pregnancy;O22.4;icdcat15-3;O224
Cerebral venous thrombosis in pregnancy;O22.5;icdcat15-3;O225
Other venous complications in pregnancy;O22.8;icdcat15-3;O228
Venous complication in pregnancy, unspecified;O22.9;icdcat15-3;O229
Infections of genitourinary tract in pregnancy;O23;icdcat15-3;O23
Infections of kidney in pregnancy;O23.0;icdcat15-3;O230
Infections of bladder in pregnancy;O23.1;icdcat15-3;O231
Infections of urethra in pregnancy;O23.2;icdcat15-3;O232
Infections of other parts of urinary tract in pregnancy;O23.3;icdcat15-3;O233
Unspecified infection of urinary tract in pregnancy;O23.4;icdcat15-3;O234
Infections of the genital tract in pregnancy;O23.5;icdcat15-3;O235
Other and unspecified genitourinary tract infection in pregnancy;O23.9;icdcat15-3;O239
Diabetes mellitus in pregnancy;O24;icdcat15-3;O24
Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, insulin-dependent;O24.0;icdcat15-3;O240
Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, non-insulin-dependent;O24.1;icdcat15-3;O241
Diabetes mellitus in pregnancy: Pre-existing malnutrition-related diabetes mellitus;O24.2;icdcat15-3;O242
Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, unspecified;O24.3;icdcat15-3;O243
Diabetes mellitus arising in pregnancy;O24.4;icdcat15-3;O244
Diabetes mellitus in pregnancy, unspecified;O24.9;icdcat15-3;O249
Malnutrition in pregnancy;O25;icdcat15-3;O25
Maternal care for other conditions predominantly related to pregnancy;O26;icdcat15-3;O26
Excessive weight gain in pregnancy;O26.0;icdcat15-3;O260
Low weight gain in pregnancy;O26.1;icdcat15-3;O261
Pregnancy care of habitual aborter;O26.2;icdcat15-3;O262
Retained intrauterine contraceptive device in pregnancy;O26.3;icdcat15-3;O263
Herpes gestationis;O26.4;icdcat15-3;O264
Maternal hypotension syndrome;O26.5;icdcat15-3;O265
Liver disorders in pregnancy, childbirth and the puerperium;O26.6;icdcat15-3;O266
Subluxation of symphysis (pubis) in pregnancy, childbirth and the puerperium;O26.7;icdcat15-3;O267
Other specified pregnancy-related conditions;O26.8;icdcat15-3;O268
Pregnancy-related condition, unspecified;O26.9;icdcat15-3;O269
Abnormal findings on antenatal screening of mother;O28;icdcat15-3;O28
Abnormal haematological finding on antenatal screening of mother;O28.0;icdcat15-3;O280
Abnormal biochemical finding on antenatal screening of mother;O28.1;icdcat15-3;O281
Abnormal cytological finding on antenatal screening of mother;O28.2;icdcat15-3;O282
Abnormal ultrasonic finding on antenatal screening of mother;O28.3;icdcat15-3;O283
Abnormal radiological finding on antenatal screening of mother;O28.4;icdcat15-3;O284
Abnormal chromosomal and genetic finding on antenatal screening of mother;O28.5;icdcat15-3;O285
Other abnormal findings on antenatal screening of mother;O28.8;icdcat15-3;O288
Abnormal finding on antenatal screening of mother, unspecified;O28.9;icdcat15-3;O289
Complications of anaesthesia during pregnancy;O29;icdcat15-3;O29
Pulmonary complications of anaesthesia during pregnancy;O29.0;icdcat15-3;O290
Cardiac complications of anaesthesia during pregnancy;O29.1;icdcat15-3;O291
Central nervous system complications of anaesthesia during pregnancy;O29.2;icdcat15-3;O292
Toxic reaction to local anaesthesia during pregnancy;O29.3;icdcat15-3;O293
Spinal and epidural anaesthesia-induced headache during pregnancy;O29.4;icdcat15-3;O294
Other complications of spinal and epidural anaesthesia during pregnancy;O29.5;icdcat15-3;O295
Failed or difficult intubation during pregnancy;O29.6;icdcat15-3;O296
Other complications of anaesthesia during pregnancy;O29.8;icdcat15-3;O298
Complication of anaesthesia during pregnancy, unspecified;O29.9;icdcat15-3;O299
Multiple gestation;O30;icdcat15-4;O30
Twin pregnancy;O30.0;icdcat15-4;O300
Triplet pregnancy;O30.1;icdcat15-4;O301
Quadruplet pregnancy;O30.2;icdcat15-4;O302
Other multiple gestation;O30.8;icdcat15-4;O308
Multiple gestation, unspecified;O30.9;icdcat15-4;O309
Complications specific to multiple gestation;O31;icdcat15-4;O31
Papyraceous fetus;O31.0;icdcat15-4;O310
Continuing pregnancy after abortion of one fetus or more;O31.1;icdcat15-4;O311
Continuing pregnancy after intrauterine death of one fetus or more;O31.2;icdcat15-4;O312
Other complications specific to multiple gestation;O31.8;icdcat15-4;O318
Maternal care for known or suspected malpresentation of fetus;O32;icdcat15-4;O32
Maternal care for unstable lie;O32.0;icdcat15-4;O320
Maternal care for breech presentation;O32.1;icdcat15-4;O321
Maternal care for transverse and oblique lie;O32.2;icdcat15-4;O322
Maternal care for face, brow and chin presentation;O32.3;icdcat15-4;O323
Maternal care for high head at term;O32.4;icdcat15-4;O324
Maternal care for multiple gestation with malpresentation of one fetus or more;O32.5;icdcat15-4;O325
Maternal care for compound presentation;O32.6;icdcat15-4;O326
Maternal care for other malpresentation of fetus;O32.8;icdcat15-4;O328
Maternal care for malpresentation of fetus, unspecified;O32.9;icdcat15-4;O329
Maternal care for known or suspected disproportion;O33;icdcat15-4;O33
Maternal care for disproportion due to deformity of maternal pelvic bones;O33.0;icdcat15-4;O330
Maternal care for disproportion due to generally contracted pelvis;O33.1;icdcat15-4;O331
Maternal care for disproportion due to inlet contraction of pelvis;O33.2;icdcat15-4;O332
Maternal care for disproportion due to outlet contraction of pelvis;O33.3;icdcat15-4;O333
Maternal care for disproportion of mixed maternal and fetal origin;O33.4;icdcat15-4;O334
Maternal care for disproportion due to unusually large fetus;O33.5;icdcat15-4;O335
Maternal care for disproportion due to hydrocephalic fetus;O33.6;icdcat15-4;O336
Maternal care for disproportion due to other fetal deformities;O33.7;icdcat15-4;O337
Maternal care for disproportion of other origin;O33.8;icdcat15-4;O338
Maternal care for disproportion, unspecified;O33.9;icdcat15-4;O339
Maternal care for known or suspected abnormality of pelvic organs;O34;icdcat15-4;O34
Maternal care for congenital malformation of uterus;O34.0;icdcat15-4;O340
Maternal care for tumour of corpus uteri;O34.1;icdcat15-4;O341
Maternal care due to uterine scar from previous surgery;O34.2;icdcat15-4;O342
Maternal care for cervical incompetence;O34.3;icdcat15-4;O343
Maternal care for other abnormalities of cervix;O34.4;icdcat15-4;O344
Maternal care for other abnormalities of gravid uterus;O34.5;icdcat15-4;O345
Maternal care for abnormality of vagina;O34.6;icdcat15-4;O346
Maternal care for abnormality of vulva and perineum;O34.7;icdcat15-4;O347
Maternal care for other abnormalities of pelvic organs;O34.8;icdcat15-4;O348
Maternal care for abnormality of pelvic organ, unspecified;O34.9;icdcat15-4;O349
Maternal care for known or suspected fetal abnormality and damage;O35;icdcat15-4;O35
Maternal care for (suspected) central nervous system malformation in fetus;O35.0;icdcat15-4;O350
Maternal care for (suspected) chromosomal abnormality in fetus;O35.1;icdcat15-4;O351
Maternal care for (suspected) hereditary disease in fetus;O35.2;icdcat15-4;O352
Maternal care for (suspected) damage to fetus from viral disease in mother;O35.3;icdcat15-4;O353
Maternal care for (suspected) damage to fetus from alcohol;O35.4;icdcat15-4;O354
Maternal care for (suspected) damage to fetus by drugs;O35.5;icdcat15-4;O355
Maternal care for (suspected) damage to fetus by radiation;O35.6;icdcat15-4;O356
Maternal care for (suspected) damage to fetus by other medical procedures;O35.7;icdcat15-4;O357
Maternal care for other (suspected) fetal abnormality and damage;O35.8;icdcat15-4;O358
Maternal care for (suspected) fetal abnormality and damage, unspecified;O35.9;icdcat15-4;O359
Maternal care for other known or suspected fetal problems;O36;icdcat15-4;O36
Maternal care for rhesus isoimmunization;O36.0;icdcat15-4;O360
Maternal care for other isoimmunization;O36.1;icdcat15-4;O361
Maternal care for hydrops fetalis;O36.2;icdcat15-4;O362
Maternal care for signs of fetal hypoxia;O36.3;icdcat15-4;O363
Maternal care for intrauterine death;O36.4;icdcat15-4;O364
Maternal care for poor fetal growth;O36.5;icdcat15-4;O365
Maternal care for excessive fetal growth;O36.6;icdcat15-4;O366
Maternal care for viable fetus in abdominal pregnancy;O36.7;icdcat15-4;O367
Maternal care for other specified fetal problems;O36.8;icdcat15-4;O368
Maternal care for fetal problem, unspecified;O36.9;icdcat15-4;O369
Polyhydramnios;O40;icdcat15-4;O40
Other disorders of amniotic fluid and membranes;O41;icdcat15-4;O41
Oligohydramnios;O41.0;icdcat15-4;O410
Infection of amniotic sac and membranes;O41.1;icdcat15-4;O411
Other specified disorders of amniotic fluid and membranes;O41.8;icdcat15-4;O418
Disorder of amniotic fluid and membranes, unspecified;O41.9;icdcat15-4;O419
Premature rupture of membranes;O42;icdcat15-4;O42
Premature rupture of membranes, onset of labour within 24 hours;O42.0;icdcat15-4;O420
Premature rupture of membranes, onset of labour after 24 hours;O42.1;icdcat15-4;O421
Premature rupture of membranes, labour delayed by therapy;O42.2;icdcat15-4;O422
Premature rupture of membranes, unspecified;O42.9;icdcat15-4;O429
Placental disorders;O43;icdcat15-4;O43
Placental transfusion syndromes;O43.0;icdcat15-4;O430
Malformation of placenta;O43.1;icdcat15-4;O431
Other placental disorders;O43.8;icdcat15-4;O438
Placental disorder, unspecified;O43.9;icdcat15-4;O439
Placenta praevia;O44;icdcat15-4;O44
Placenta praevia specified as without haemorrhage;O44.0;icdcat15-4;O440
Placenta praevia with haemorrhage;O44.1;icdcat15-4;O441
Premature separation of placenta [abruptio placentae];O45;icdcat15-4;O45
Premature separation of placenta with coagulation defect;O45.0;icdcat15-4;O450
Other premature separation of placenta;O45.8;icdcat15-4;O458
Premature separation of placenta, unspecified;O45.9;icdcat15-4;O459
Antepartum haemorrhage, not elsewhere classified;O46;icdcat15-4;O46
Antepartum haemorrhage with coagulation defect;O46.0;icdcat15-4;O460
Other antepartum haemorrhage;O46.8;icdcat15-4;O468
Antepartum haemorrhage, unspecified;O46.9;icdcat15-4;O469
False labour;O47;icdcat15-4;O47
False labour before 37 completed weeks of gestation;O47.0;icdcat15-4;O470
False labour at or after 37 completed weeks of gestation;O47.1;icdcat15-4;O471
False labour, unspecified;O47.9;icdcat15-4;O479
Prolonged pregnancy;O48;icdcat15-4;O48
Preterm labour and delivery;O60;icdcat15-5;O60
Failed induction of labour;O61;icdcat15-5;O61
Failed medical induction of labour;O61.0;icdcat15-5;O610
Failed instrumental induction of labour;O61.1;icdcat15-5;O611
Other failed induction of labour;O61.8;icdcat15-5;O618
Failed induction of labour, unspecified;O61.9;icdcat15-5;O619
Abnormalities of forces of labour;O62;icdcat15-5;O62
Primary inadequate contractions;O62.0;icdcat15-5;O620
Secondary uterine inertia;O62.1;icdcat15-5;O621
Other uterine inertia;O62.2;icdcat15-5;O622
Precipitate labour;O62.3;icdcat15-5;O623
Hypertonic, incoordinate, and prolonged uterine contractions;O62.4;icdcat15-5;O624
Other abnormalities of forces of labour;O62.8;icdcat15-5;O628
Abnormality of forces of labour, unspecified;O62.9;icdcat15-5;O629
Long labour;O63;icdcat15-5;O63
Prolonged first stage (of labour);O63.0;icdcat15-5;O630
Prolonged second stage (of labour);O63.1;icdcat15-5;O631
Delayed delivery of second twin, triplet, etc.;O63.2;icdcat15-5;O632
Long labour, unspecified;O63.9;icdcat15-5;O639
Obstructed labour due to malposition and malpresentation of fetus;O64;icdcat15-5;O64
Obstructed labour due to incomplete rotation of fetal head;O64.0;icdcat15-5;O640
Obstructed labour due to breech presentation;O64.1;icdcat15-5;O641
Obstructed labour due to face presentation;O64.2;icdcat15-5;O642
Obstructed labour due to brow presentation;O64.3;icdcat15-5;O643
Obstructed labour due to shoulder presentation;O64.4;icdcat15-5;O644
Obstructed labour due to compound presentation;O64.5;icdcat15-5;O645
Obstructed labour due to other malposition and malpresentation;O64.8;icdcat15-5;O648
Obstructed labour due to malposition and malpresentation, unspecified;O64.9;icdcat15-5;O649
Obstructed labour due to maternal pelvic abnormality;O65;icdcat15-5;O65
Obstructed labour due to deformed pelvis;O65.0;icdcat15-5;O650
Obstructed labour due to generally contracted pelvis;O65.1;icdcat15-5;O651
Obstructed labour due to pelvic inlet contraction;O65.2;icdcat15-5;O652
Obstructed labour due to pelvic outlet and mid-cavity contraction;O65.3;icdcat15-5;O653
Obstructed labour due to fetopelvic disproportion, unspecified;O65.4;icdcat15-5;O654
Obstructed labour due to abnormality of maternal pelvic organs;O65.5;icdcat15-5;O655
Obstructed labour due to other maternal pelvic abnormalities;O65.8;icdcat15-5;O658
Obstructed labour due to maternal pelvic abnormality, unspecified;O65.9;icdcat15-5;O659
Other obstructed labour;O66;icdcat15-5;O66
Obstructed labour due to shoulder dystocia;O66.0;icdcat15-5;O660
Obstructed labour due to locked twins;O66.1;icdcat15-5;O661
Obstructed labour due to unusually large fetus;O66.2;icdcat15-5;O662
Obstructed labour due to other abnormalities of fetus;O66.3;icdcat15-5;O663
Failed trial of labour, unspecified;O66.4;icdcat15-5;O664
Failed application of vacuum extractor and forceps, unspecified;O66.5;icdcat15-5;O665
Other specified obstructed labour;O66.8;icdcat15-5;O668
Obstructed labour, unspecified;O66.9;icdcat15-5;O669
Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified;O67;icdcat15-5;O67
Intrapartum haemorrhage with coagulation defect;O67.0;icdcat15-5;O670
Other intrapartum haemorrhage;O67.8;icdcat15-5;O678
Intrapartum haemorrhage, unspecified;O67.9;icdcat15-5;O679
Labour and delivery complicated by fetal stress [distress];O68;icdcat15-5;O68
Labour and delivery complicated by fetal heart rate anomaly;O68.0;icdcat15-5;O680
Labour and delivery complicated by meconium in amniotic fluid;O68.1;icdcat15-5;O681
Labour and delivery complicated by fetal heart rate anomaly with meconium in amniotic fluid;O68.2;icdcat15-5;O682
Labour and delivery complicated by biochemical evidence of fetal stress;O68.3;icdcat15-5;O683
Labour and delivery complicated by other evidence of fetal stress;O68.8;icdcat15-5;O688
Labour and delivery complicated by fetal stress, unspecified;O68.9;icdcat15-5;O689
Labour and delivery complicated by umbilical cord complications;O69;icdcat15-5;O69
Labour and delivery complicated by prolapse of cord;O69.0;icdcat15-5;O690
Labour and delivery complicated by cord around neck, with compression;O69.1;icdcat15-5;O691
Labour and delivery complicated by other cord entanglement, with compression;O69.2;icdcat15-5;O692
Labour and delivery complicated by short cord;O69.3;icdcat15-5;O693
Labour and delivery complicated by vasa praevia;O69.4;icdcat15-5;O694
Labour and delivery complicated by vascular lesion of cord;O69.5;icdcat15-5;O695
Labour and delivery complicated by other cord complications;O69.8;icdcat15-5;O698
Labour and delivery complicated by cord complication, unspecified;O69.9;icdcat15-5;O699
Perineal laceration during delivery;O70;icdcat15-5;O70
First degree perineal laceration during delivery;O70.0;icdcat15-5;O700
Second degree perineal laceration during delivery;O70.1;icdcat15-5;O701
Third degree perineal laceration during delivery;O70.2;icdcat15-5;O702
Fourth degree perineal laceration during delivery;O70.3;icdcat15-5;O703
Perineal laceration during delivery, unspecified;O70.9;icdcat15-5;O709
Other obstetric trauma;O71;icdcat15-5;O71
Rupture of uterus before onset of labour;O71.0;icdcat15-5;O710
Rupture of uterus during labour;O71.1;icdcat15-5;O711
Postpartum inversion of uterus;O71.2;icdcat15-5;O712
Obstetric laceration of cervix;O71.3;icdcat15-5;O713
Obstetric high vaginal laceration;O71.4;icdcat15-5;O714
Other obstetric injury to pelvic organs;O71.5;icdcat15-5;O715
Obstetric damage to pelvic joints and ligaments;O71.6;icdcat15-5;O716
Obstetric haematoma of pelvis;O71.7;icdcat15-5;O717
Other specified obstetric trauma;O71.8;icdcat15-5;O718
Obstetric trauma, unspecified;O71.9;icdcat15-5;O719
Postpartum haemorrhage;O72;icdcat15-5;O72
Third-stage haemorrhage;O72.0;icdcat15-5;O720
Other immediate postpartum haemorrhage;O72.1;icdcat15-5;O721
Delayed and secondary postpartum haemorrhage;O72.2;icdcat15-5;O722
Postpartum coagulation defects;O72.3;icdcat15-5;O723
Retained placenta and membranes, without haemorrhage;O73;icdcat15-5;O73
Retained placenta without haemorrhage;O73.0;icdcat15-5;O730
Retained portions of placenta and membranes, without haemorrhage;O73.1;icdcat15-5;O731
Complications of anaesthesia during labour and delivery;O74;icdcat15-5;O74
Aspiration pneumonitis due to anaesthesia during labour and delivery;O74.0;icdcat15-5;O740
Other pulmonary complications of anaesthesia during labour and delivery;O74.1;icdcat15-5;O741
Cardiac complications of anaesthesia during labour and delivery;O74.2;icdcat15-5;O742
Central nervous system complications of anaesthesia during labour and delivery;O74.3;icdcat15-5;O743
Toxic reaction to local anaesthesia during labour and delivery;O74.4;icdcat15-5;O744
Spinal and epidural anaesthesia-induced headache during labour and delivery;O74.5;icdcat15-5;O745
Other complications of spinal and epidural anaesthesia during labour and delivery;O74.6;icdcat15-5;O746
Failed or difficult intubation during labour and delivery;O74.7;icdcat15-5;O747
Other complications of anaesthesia during labour and delivery;O74.8;icdcat15-5;O748
Complication of anaesthesia during labour and delivery, unspecified;O74.9;icdcat15-5;O749
Other complications of labour and delivery, not elsewhere classified;O75;icdcat15-5;O75
Maternal distress during labour and delivery;O75.0;icdcat15-5;O750
Shock during or following labour and delivery;O75.1;icdcat15-5;O751
Pyrexia during labour, not elsewhere classified;O75.2;icdcat15-5;O752
Other infection during labour;O75.3;icdcat15-5;O753
Other complications of obstetric surgery and procedures;O75.4;icdcat15-5;O754
Delayed delivery after artificial rupture of membranes;O75.5;icdcat15-5;O755
Delayed delivery after spontaneous or unspecified rupture of membranes;O75.6;icdcat15-5;O756
Vaginal delivery following previous caesarean section;O75.7;icdcat15-5;O757
Other specified complications of labour and delivery;O75.8;icdcat15-5;O758
Complication of labour and delivery, unspecified;O75.9;icdcat15-5;O759
Single spontaneous delivery;O80;icdcat15-6;O80
Spontaneous vertex delivery;O80.0;icdcat15-6;O800
Spontaneous breech delivery;O80.1;icdcat15-6;O801
Other single spontaneous delivery;O80.8;icdcat15-6;O808
Single spontaneous delivery, unspecified;O80.9;icdcat15-6;O809
Single delivery by forceps and vacuum extractor;O81;icdcat15-6;O81
Low forceps delivery;O81.0;icdcat15-6;O810
Mid-cavity forceps delivery;O81.1;icdcat15-6;O811
Mid-cavity forceps with rotation;O81.2;icdcat15-6;O812
Other and unspecified forceps delivery;O81.3;icdcat15-6;O813
Vacuum extractor delivery;O81.4;icdcat15-6;O814
Delivery by combination of forceps and vacuum extractor;O81.5;icdcat15-6;O815
Single delivery by caesarean section;O82;icdcat15-6;O82
Delivery by elective caesarean section;O82.0;icdcat15-6;O820
Delivery by emergency caesarean section;O82.1;icdcat15-6;O821
Delivery by caesarean hysterectomy;O82.2;icdcat15-6;O822
Other single delivery by caesarean section;O82.8;icdcat15-6;O828
Delivery by caesarean section, unspecified;O82.9;icdcat15-6;O829
Other assisted single delivery;O83;icdcat15-6;O83
Breech extraction;O83.0;icdcat15-6;O830
Other assisted breech delivery;O83.1;icdcat15-6;O831
Other manipulation-assisted delivery;O83.2;icdcat15-6;O832
Delivery of viable fetus in abdominal pregnancy;O83.3;icdcat15-6;O833
Destructive operation for delivery;O83.4;icdcat15-6;O834
Other specified assisted single delivery;O83.8;icdcat15-6;O838
Assisted single delivery, unspecified;O83.9;icdcat15-6;O839
Multiple delivery;O84;icdcat15-6;O84
Multiple delivery, all spontaneous;O84.0;icdcat15-6;O840
Multiple delivery, all by forceps and vacuum extractor;O84.1;icdcat15-6;O841
Multiple delivery, all by caesarean section;O84.2;icdcat15-6;O842
Other multiple delivery;O84.8;icdcat15-6;O848
Multiple delivery, unspecified;O84.9;icdcat15-6;O849
Puerperal sepsis;O85;icdcat15-7;O85
Other puerperal infections;O86;icdcat15-7;O86
Infection of obstetric surgical wound;O86.0;icdcat15-7;O860
Other infection of genital tract following delivery;O86.1;icdcat15-7;O861
Urinary tract infection following delivery;O86.2;icdcat15-7;O862
Other genitourinary tract infections following delivery;O86.3;icdcat15-7;O863
Pyrexia of unknown origin following delivery;O86.4;icdcat15-7;O864
Other specified puerperal infections;O86.8;icdcat15-7;O868
Venous complications and haemorrhoids in the puerperium;O87;icdcat15-7;O87
Superficial thrombophlebitis in the puerperium;O87.0;icdcat15-7;O870
Deep phlebothrombosis in the puerperium;O87.1;icdcat15-7;O871
Haemorrhoids in the puerperium;O87.2;icdcat15-7;O872
Cerebral venous thrombosis in the puerperium;O87.3;icdcat15-7;O873
Other venous complications in the puerperium;O87.8;icdcat15-7;O878
Venous complication in the puerperium, unspecified;O87.9;icdcat15-7;O879
Obstetric embolism;O88;icdcat15-7;O88
Obstetric air embolism;O88.0;icdcat15-7;O880
Amniotic fluid embolism;O88.1;icdcat15-7;O881
Obstetric blood-clot embolism;O88.2;icdcat15-7;O882
Obstetric pyaemic and septic embolism;O88.3;icdcat15-7;O883
Other obstetric embolism;O88.8;icdcat15-7;O888
Complications of anaesthesia during the puerperium;O89;icdcat15-7;O89
Pulmonary complications of anaesthesia during the puerperium;O89.0;icdcat15-7;O890
Cardiac complications of anaesthesia during the puerperium;O89.1;icdcat15-7;O891
Central nervous system complications of anaesthesia during the puerperium;O89.2;icdcat15-7;O892
Toxic reaction to local anaesthesia during the puerperium;O89.3;icdcat15-7;O893
Spinal and epidural anaesthesia-induced headache during the puerperium;O89.4;icdcat15-7;O894
Other complications of spinal and epidural anaesthesia during the puerperium;O89.5;icdcat15-7;O895
Failed or difficult intubation during the puerperium;O89.6;icdcat15-7;O896
Other complications of anaesthesia during the puerperium;O89.8;icdcat15-7;O898
Complication of anaesthesia during the puerperium, unspecified;O89.9;icdcat15-7;O899
Complications of the puerperium, not elsewhere classified;O90;icdcat15-7;O90
Disruption of caesarean section wound;O90.0;icdcat15-7;O900
Disruption of perineal obstetric wound;O90.1;icdcat15-7;O901
Haematoma of obstetric wound;O90.2;icdcat15-7;O902
Cardiomyopathy in the puerperium;O90.3;icdcat15-7;O903
Postpartum acute renal failure;O90.4;icdcat15-7;O904
Postpartum thyroiditis;O90.5;icdcat15-7;O905
Other complications of the puerperium, not elsewhere classified;O90.8;icdcat15-7;O908
Complication of the puerperium, unspecified;O90.9;icdcat15-7;O909
Infections of breast associated with childbirth;O91;icdcat15-7;O91
Infection of nipple associated with childbirth;O91.0;icdcat15-7;O910
Abscess of breast associated with childbirth;O91.1;icdcat15-7;O911
Nonpurulent mastitis associated with childbirth;O91.2;icdcat15-7;O912
Other disorders of breast and lactation associated with childbirth;O92;icdcat15-7;O92
